org.apache.commons.math.special.Gamma,jump,90,91
org.apache.commons.math.special.Gamma,jump,96,97
org.apache.commons.math.special.Gamma,jump,158,159
org.apache.commons.math.special.Gamma,jump,160,161
org.apache.commons.math.special.Gamma,jump,162,165
org.apache.commons.math.special.Gamma,jump,171,173
org.apache.commons.math.special.Gamma,jump,179,180
org.apache.commons.math.special.Gamma,jump,233,234
org.apache.commons.math.special.Gamma,jump,235,236
org.apache.commons.math.special.Gamma,jump,237,240
